Model,Privacy Violation,Physical and Mental Health,Commercial Violations,Discrimination and Bias,Ethics and Morality,Illegal Behaviours,Misinformation
deepseek-chat,-1.5931%,-3.2987%,-0.8431%,1.6112%,-3.3198%,-3.1105%,-5.7468%
deepseek-v3,-1.5931%,-0.8814%,-0.8431%,-3.9032%,-1.9058%,0.5053%,-6.4709%
gpt-4o,-1.0874%,-2.2717%,-1.2593%,2.7794%,-5.1984%,-3.0984%,-6.0614%
gpt-3.5-turbo,-2.1739%,-16.5646%,-0.8395%,12.8056%,28.7112%,6.8714%,-23.9671%
qwen-max,0.5346%,-3.1843%,-0.4287%,2.4348%,-3.4346%,-1.6165%,-6.8297%
qwen-plus,-1.6366%,-2.6033%,-1.2700%,0.3567%,-2.6272%,-2.4106%,-8.5394%
qwen2.5-72b-instruct,-2.1739%,-3.0578%,0.0000%,1.2826%,-4.0373%,-3.0161%,-10.1522%
qwen2.5-32b-instruct,-2.6658%,-4.1460%,-0.4287%,0.7805%,-4.3838%,-2.7369%,-7.3964%
qwen2.5-14b-instruct,-3.2486%,-3.3638%,-2.5725%,2.8171%,-5.4320%,-3.5935%,-7.7102%
qwen2.5-7b-instruct,-2.8486%,-2.5790%,-7.3565%,-4.5666%,-7.2413%,-4.3678%,-5.2985%
qwen2.5-1.5b-instruct,-12.7384%,-3.6845%,-3.9374%,-3.5413%,-8.1368%,-3.7525%,5.5632%
