Model,Privacy Violation,Physical and Mental Health,Commercial Violations,Discrimination and Bias,Ethics and Morality,Illegal Behaviours,Misinformation
deepseek-chat,-1.8901%,-1.0293%,-2.3172%,-2.8337%,-2.2408%,-3.0814%,-0.9879%
deepseek-v3,-1.1178%,-0.5625%,-0.7838%,-14.1816%,-4.0908%,-2.7855%,-5.7336%
gpt-4o,-2.6401%,-1.1238%,-3.5008%,-3.4692%,-0.3320%,-3.5063%,0.0000%
gpt-3.5-turbo,-9.5519%,-4.4499%,0.4101%,18.0756%,-13.7477%,-7.1855%,3.4882%
qwen-max,-3.7159%,-0.8610%,-2.0722%,-0.2838%,-1.5507%,-1.6965%,0.9403%
qwen-plus,-2.9345%,-0.5684%,-3.5444%,3.0836%,-2.7036%,-4.6381%,1.3301%
qwen2.5-72b-instruct,-3.0819%,-0.4766%,-2.3491%,5.2021%,-1.5701%,-4.7749%,0.7911%
qwen2.5-32b-instruct,-0.8377%,-2.3991%,-3.5727%,-4.5116%,-1.6918%,-1.4451%,-0.8348%
qwen2.5-14b-instruct,-2.8727%,-1.3676%,-4.0318%,-1.0347%,-2.9044%,-3.5818%,0.9869%
qwen2.5-7b-instruct,-1.1704%,-2.8050%,-2.9712%,8.3486%,-0.6251%,0.9664%,1.4933%
qwen2.5-1.5b-instruct,-2.3508%,-1.2960%,-0.8668%,-2.0019%,-3.2583%,-5.2914%,3.4775%
