Model,Privacy Violation,Physical and Mental Health,Commercial Violations,Discrimination and Bias,Ethics and Morality,Illegal Behaviours,Misinformation
deepseek-chat,-0.5346%,-0.6152%,0.0000%,-1.1132%,-1.1030%,-0.8464%,-1.7701%
deepseek-v3,0.5346%,1.3275%,0.0000%,-7.6416%,0.2166%,3.6358%,-2.8991%
gpt-4o,1.6476%,1.1136%,-0.4162%,-0.3736%,-1.2745%,-0.7303%,3.7919%
gpt-3.5-turbo,-16.2989%,-21.2535%,-15.6711%,5.2067%,-5.8684%,1.2715%,-43.7675%
qwen-max,0.0000%,-0.9328%,0.0000%,-2.0746%,0.3435%,0.4282%,-0.9757%
qwen-plus,0.0000%,0.2278%,-0.8395%,0.7276%,0.2318%,-0.5944%,-1.4189%
qwen2.5-72b-instruct,-1.0815%,-0.0864%,0.4361%,-0.6850%,0.0000%,-0.7840%,-2.1707%
qwen2.5-32b-instruct,-0.5267%,-0.4751%,0.4180%,-0.4115%,-0.3372%,-0.0545%,-1.4847%
qwen2.5-14b-instruct,0.5432%,0.0662%,0.0000%,0.4173%,-0.6790%,0.5320%,-1.8510%
qwen2.5-7b-instruct,0.0000%,-0.5135%,-2.5951%,-5.7782%,-0.5874%,-2.4132%,-1.3246%
qwen2.5-1.5b-instruct,-1.9076%,1.1306%,-0.8762%,1.7201%,-0.1310%,-1.5035%,5.0650%
